"","global_key","gender","qtd"
"1","aaai","F",3551
"2","aaai","M",13075
"3","acl","F",2681
"4","acl","M",7639
"5","adbis","F",477
"6","adbis","M",1936
"7","alt","F",144
"8","alt","M",934
"9","cade","F",319
"10","cade","M",1848
"11","chi","F",11197
"12","chi","M",23578
"13","cikm","F",3480
"14","cikm","M",10090
"15","colt","F",222
"16","colt","M",1510
"17","compgeom","F",347
"18","compgeom","M",2155
"19","concur","F",268
"20","concur","M",1288
"21","coopis","F",180
"22","coopis","M",752
"23","crypto","F",287
"24","crypto","M",1746
"25","csmr","F",377
"26","csmr","M",1706
"27","cvpr","F",4524
"28","cvpr","M",20171
"29","dasfaa","F",1129
"30","dasfaa","M",3021
"31","dbpl","F",47
"32","dbpl","M",245
"33","dolap","F",111
"34","dolap","M",469
"35","edbt","F",891
"36","edbt","M",3279
"37","er","F",1034
"38","er","M",3085
"39","esa","F",426
"40","esa","M",2726
"41","eurocrypt","F",240
"42","eurocrypt","M",1474
"43","fase","F",284
"44","fase","M",1102
"45","focs","F",351
"46","focs","M",2539
"47","fse","F",189
"48","fse","M",992
"49","fsttcs","F",198
"50","fsttcs","M",1420
"51","gpce","F",101
"52","gpce","M",971
"53","icalp","F",637
"54","icalp","M",4131
"55","iccv","F",1354
"56","iccv","M",6095
"57","icde","F",2373
"58","icde","M",8356
"59","icdt","F",133
"60","icdt","M",679
"61","icml","F",1338
"62","icml","M",7163
"63","icse","F",3593
"64","icse","M",13245
"65","icsm","F",743
"66","icsm","M",2947
"67","ijcai","F",2377
"68","ijcai","M",9074
"69","infocom","F",4421
"70","infocom","M",13794
"71","ipco","F",133
"72","ipco","M",757
"73","isaac","F",417
"74","isaac","M",2496
"75","issac","F",216
"76","issac","M",1580
"77","iwpc","F",356
"78","iwpc","M",1450
"79","kbse","F",840
"80","kbse","M",3468
"81","kdd","F",2325
"82","kdd","M",7172
"83","latin","F",225
"84","latin","M",1182
"85","lfcs","F",30
"86","lfcs","M",195
"87","lics","F",173
"88","lics","M",1544
"89","mfcs","F",374
"90","mfcs","M",2315
"91","mobicom","F",1018
"92","mobicom","M",4038
"93","msr","F",323
"94","msr","M",1296
"95","nsdi","F",251
"96","nsdi","M",1722
"97","osdi","F",248
"98","osdi","M",1474
"99","pldi","F",327
"100","pldi","M",2668
"101","podc","F",517
"102","podc","M",2426
"103","pods","F",183
"104","pods","M",1167
"105","popl","F",244
"106","popl","M",1815
"107","recomb","F",452
"108","recomb","M",1710
"109","ride","F",62
"110","ride","M",157
"111","scam","F",142
"112","scam","M",792
"113","sigcomm","F",788
"114","sigcomm","M",4084
"115","sigir","F",1971
"116","sigir","M",6522
"117","sigmetrics","F",530
"118","sigmetrics","M",2222
"119","sigmod","F",1727
"120","sigmod","M",6988
"121","soda","F",740
"122","soda","M",5027
"123","sosp","F",170
"124","sosp","M",1015
"125","sp","F",370
"126","sp","M",2053
"127","spaa","F",271
"128","spaa","M",1684
"129","ssdbm","F",466
"130","ssdbm","M",1786
"131","stacs","F",240
"132","stacs","M",2008
"133","stoc","F",468
"134","stoc","M",3025
"135","swat","F",114
"136","swat","M",788
"137","uist","F",734
"138","uist","M",3321
"139","vldb","F",629
"140","vldb","M",2794
"141","wads","F",158
"142","wads","M",960
"143","wcre","F",453
"144","wcre","M",1889
"145","wdag","F",357
"146","wdag","M",1522
"147","widm","F",128
"148","widm","M",371
"149","www","F",3182
"150","www","M",11754
