"","year","gender","qtd"
"1",2000,"F",1386
"2",2000,"M",6862
"3",2001,"F",1657
"4",2001,"M",7854
"5",2002,"F",1726
"6",2002,"M",8090
"7",2003,"F",2209
"8",2003,"M",9766
"9",2004,"F",2524
"10",2004,"M",10956
"11",2005,"F",3261
"12",2005,"M",13963
"13",2006,"F",3417
"14",2006,"M",13748
"15",2007,"F",3816
"16",2007,"M",16278
"17",2008,"F",3951
"18",2008,"M",16227
"19",2009,"F",4226
"20",2009,"M",16749
"21",2010,"F",4541
"22",2010,"M",17177
"23",2011,"F",5408
"24",2011,"M",19956
"25",2012,"F",5404
"26",2012,"M",19563
"27",2013,"F",6911
"28",2013,"M",24174
"29",2014,"F",6555
"30",2014,"M",22653
"31",2015,"F",7681
"32",2015,"M",27362
"33",2016,"F",7703
"34",2016,"M",25094
